Score,Popularity,Rank,Members,Description,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating
7.88,2116,839,97,"Shuurei Kou, the daughter of a noble yet impoverished family, is a clever young lady who dreams of becoming a government official and contributing toward her country. However, her dream is out of her reach as such a position is forbidden to women. While her father works a low wage job as an archivist at the palace, Shuurei has to juggle odd jobs to make ends meet. Then, one day, an unexpected visit changes her life. 

Shuurei is called to assist Ryuuki Shi, the new emperor who is known for slacking on his duties and preferring the company of men. Tempted by the generous compensation, she readily accepts the chance to become the young emperor's consort for six months. Luckily, she is not alone as Seiran Shi, her trusty friend, joins her as Ryuuki's bodyguard. While tasked with transforming the new emperor into a responsible ruler, court life and politics prove troublesome as Shuurei faces the challenges of her new life.

Set in a fictional country, Saiunkoku Monogatari centers on the idea of meaningful leadership, its adversities and the rewards that come alongside a prospering nation.

[Written by MAL Rewrite]",The Story of Saiunkoku,TV,39,Finished Airing,"Apr 8, 2006 to Feb 24, 2007",Spring 2006,Unknown,"NHK, Sogo Vision","Funimation, Geneon Entertainment USA",Madhouse,Light novel,"AdventureAdventure, FantasyFantasy, RomanceRomance",ShoujoShoujo,25 min. per ep.,PG-13 - Teens 13 or older
8.02,3461,618,41,"Shuurei Kou and her friend Eigetsu To, a boy prodigy of humble origins, have been appointed co-governors of the Sa province, one of the eight provinces in Saiunkoku. Together, they decide to make the province an academic research center in the hopes of bringing a long overdue prosperity to the region.

However, while Shuurei goes to the capital to obtain approvals for the ambitious project, the Sa province's recently established tranquility is threatened by a pandemic that brings both death and turmoil as it begins to spread among the people. Counting on Eigetsu to monitor the situation until her return, Shuurei seeks support from her allies to find a suitable treatment. Yet, Eigetsu's past personal conflicts distract him, providing an opportunity for opponents of Shuurei's position to take advantage of the troubles and undermine her authority.

Becoming a government official has been Shuurei's lifelong dream, but it is no easy task for the first woman undertaking such a position. Will she step up and overcome this great challenge or give in to the looming adversities?

[Written by MAL Rewrite]",Tales of Saiunkoku,TV,39,Finished Airing,"Apr 7, 2007 to Mar 8, 2008",Spring 2007,Unknown,"NHK, Sogo Vision","None found, add some",Madhouse,Light novel,"AdventureAdventure, FantasyFantasy, RomanceRomance",ShoujoShoujo,25 min. per ep.,PG-13 - Teens 13 or older
8.31,452,255,493,"Traveling merchant Kraft Lawrence continues his northward journey with wolf goddess Holo, in search of her lost home of Yoitsu. Lawrence and his sharp-witted partner continue to make some small profits along the way, while slowly uncovering more information about Holo's hometown. However, the road to Yoitsu is a bumpy one filled with many troubles—Lawrence runs into a charming young fellow merchant who has his eyes set on the female wolf companion, and he begins to doubt if Holo will remain by his side; he and the goddess will also have to consider precarious and risky business deals as Lawrence strives to achieve his dream of becoming a shopowner. All the while, with his determination tested at every turn during his journey, Lawrence must question his relationship with Holo, take on business ventures, and ask himself whether it is time for him and Holo to go their separate ways.

[Written by MAL Rewrite]",Spice and Wolf II,TV,12,Finished Airing,"Jul 9, 2009 to Sep 24, 2009",Summer 2009,Thursdays at 01:15 (JST),"Imagin, Pony Canyon, Movic, Kadokawa Pictures Japan, flying DOG, ASCII Media Works",Funimation,"Brain's Base, Marvy Jack",Light novel,"AdventureAdventure, FantasyFantasy, RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older
8.22,223,343,818,"Holo is a powerful wolf deity who is revered in the small town of Pasloe for blessing the annual harvest. Yet as years go by and the villagers become more self-sufficient, Holo has been reduced to a mere folktale. When a traveling merchant named Kraft Lawrence stops at the settlement, Holo offers to become his business partner if he takes her to her northern home of Yoitsu. The savvy trader recognizes Holo's unusual ability to evaluate a person's character and accepts her proposition. 

Now in the possession of both sharp bargaining skills and a charismatic negotiator, Lawrence inches closer to his goal of opening his own shop. However, as Lawrence travels the countryside with Holo in search of economic opportunities, he begins to realize that his aspirations are slowly morphing into something unexpected.

[Written by MAL Rewrite]
",Spice and Wolf,TV,13,Finished Airing,"Jan 9, 2008 to Mar 26, 2008",Winter 2008,Wednesdays at 01:30 (JST),"Victor Entertainment, Pony Canyon, Movic, Kadokawa Pictures Japan","Funimation, Kadokawa Pictures USA",Imagin,Light novel,"AdventureAdventure, FantasyFantasy, RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older
8.24,4217,322,27,"Spring has finally arrived in Moomin Valley, giving way to another great adventure for Moomintroll and the rest of its inhabitants. With Snufkin coming home from his winter migration, the locals of the valley finally begin to rise from their hibernation. Finding a mysterious hat, the Moomins cannot bring themselves to throw it away due to its fine quality, instead hoping to eventually find its owner. 

While playing games with his friends, Moomin tries to hide in the silk hat. When his friends come looking for him, they are shocked to discover that Moomin has transformed into a hideous creature. Examining himself in the mirror, he is disgusted to find himself completely unrecognizable.

Transforming back to normal after scaring his friends and family, Moomin and Snufkin decide to toss the hat in the river. As it drifts away, they begin to wonder who the hat belonged to and whether its owner will return for their lost possession.

[Written by MAL Rewrite]",,TV,78,Finished Airing,"Apr 12, 1990 to Oct 3, 1991",Spring 1990,Thursdays at 19:00 (JST),"TV Tokyo, Starchild Records, Visual 80","None found, add some",Telescreen,Book,"AdventureAdventure, FantasyFantasy, Slice of LifeSlice of Life",KidsKids,24 min. per ep.,G - All Ages
8.22,480,350,468,"Fifteen years ago, disaster struck human civilization, and now dangerous man-eating monsters roam the ravaged lands, posing an existential threat to the remaining survivors. Amid this turmoil, an isolated facility shelters children and nurtures them in peace. However, as a few among them find out about the world beyond the narrow periphery of their nursery's walls, their curiosity about it slowly grows.

Meanwhile, in the outside world, young survivors Maru and Kiruko band together to search for a special place called Heaven, each for their own reasons. Carrying past burdens and tragic secrets, the two hope to find answers to the cruelty they have experienced in their lives and in the world, which still remains in tatters.

[Written by MAL Rewrite]",Heavenly Delusion,TV,13,Finished Airing,"Apr 1, 2023 to Jun 24, 2023",Spring 2023,Saturdays at 22:00 (JST),"Mainichi Broadcasting System, Kodansha, NBCUniversal Entertainment Japan, Avex Pictures, NetEase","None found, add some",Production I.G,Manga,"AdventureAdventure, MysteryMystery, Sci-FiSci-Fi",SeinenSeinen,23 min. per ep.,R - 17+ (violence & profanity)
8.21,683,353,344,"Amid the desolate remains of a once-thriving city, only the rumbling of a motorbike breaks the cold winter silence. Its riders, Chito and Yuuri, are the last survivors in the war-torn city. Scavenging old military sites for food and parts, the two girls explore the wastelands and speculate about the old world to pass the time. Chito and Yuuri each occasionally struggle with the looming solitude, but when they have each other, sharing the weight of being two of the last humans becomes a bit more bearable. Between Yuuri's clumsy excitement and Chito's calm composure, their dark days get a little brighter with shooting practice, new books, and snowball fights on the frozen battlefield. 

Among a scenery of barren landscapes and deserted buildings, Shoujo Shuumatsu Ryokou tells the uplifting tale of two girls and their quest to find hope in a bleak and dying world.

[Written by MAL Rewrite]",Girls' Last Tour,TV,12,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",Fall 2017,Fridays at 21:30 (JST),"AT-X, Shinchosha, Kadokawa Media House, Kadokawa",Sentai Filmworks,White Fox,Web manga,"AdventureAdventure, MysteryMystery, Sci-FiSci-Fi, Slice of LifeSlice of Life",,23 min. per ep.,PG-13 - Teens 13 or older
8.66,215,70,829,"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows.

This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence.

So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life.

Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer.

It could, after all, lead to the meaning of life itself.

[Written by MAL Rewrite]",Mushi-Shi,TV,26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,Sundays at 03:40 (JST),"Avex Entertainment, Marvelous Entertainment, SKY Perfect Well Think, Delfi Sound",Funimation,Artland,Manga,"AdventureAdventure, MysteryMystery, Slice of LifeSlice of Life, SupernaturalSupernatural",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older
8.73,908,50,266,"Ghostly, primordial beings known as Mushi continue to cause mysterious changes in the lives of humans. The travelling Mushishi, Ginko, persists in trying to set right the strange and unsettling situations he encounters. Time loops, living shadows, and telepathy are among the overt effects of interference from Mushi, but more subtle symptoms that take years to be noticed also rouse Ginko's concern as he passes from village to village.

Through circumstance, Ginko has become an arbiter, determining which Mushi are blessings and which are curses. But the lines that he seeks to draw are subjective. Some of his patients would rather exercise their new powers until they are utterly consumed by them; others desperately strive to rid themselves of afflictions which are in fact protecting their lives from devastation. Those who cross paths with Mushi must learn to accept seemingly impossible consequences for their actions, and heal wounds they did not know they had. Otherwise, they risk meeting with fates beyond their comprehension.

[Written by MAL Rewrite]",Mushi-shi: Next Passage Part 2,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,Sundays at 00:30 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,"AdventureAdventure, MysteryMystery, Slice of LifeSlice of Life, SupernaturalSupernatural",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older
8.69,803,59,300,"Perceived as strange and feared by man, over time the misshapen ones came to be known as Mushi. Although they harbor no ill intentions towards humans, many suffer from the side effects of their existence and strange nature; exploiting the Mushi without understanding them, even unintentionally, can lead to disaster and strife for any involved. Mushishi Zoku Shou continues the story of Mushishi Ginko on his journey to help the visible world to coexist with the Mushi.

During his travels, Ginko discovers various gifted individuals—those cursed by circumstance and those maintaining a fragile symbiosis with the Mushi—inevitably confronting the question of whether humanity, talented and tortured alike, can manage the responsibility of the unseen. Moreover, as a Mushishi, Ginko must learn more about these strange beings and decide if he has the right to interfere with the complex relationships between Mushi and mankind.

[Written by MAL Rewrite]",Mushi-shi: Next Passage Part 1,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,Saturdays at 00:00 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,"AdventureAdventure, MysteryMystery, Slice of LifeSlice of Life, SupernaturalSupernatural",SeinenSeinen,24 min. per ep.,PG-13 - Teens 13 or older
7.94,5302,726,15,"Rai is a space opera that fuses feudal Chinese and Japanese customs with vast galaxy spanning empires and space-going societies. The story follows the life and times of the samurai Rai, and the quest of several spacefaring factions for control of territory and, of course, the Empire.",Galaxy Warring State Chronicle Rai,TV,52,Finished Airing,"Apr 8, 1994 to Mar 31, 1995",Spring 1994,Fridays at 18:30 (JST),"TV Tokyo, SoftX",Enoki Films,E&G Films,Manga,"AdventureAdventure, RomanceRomance, Sci-FiSci-Fi",ShounenShounen,25 min. per ep.,PG-13 - Teens 13 or older
8.09,246,511,776,"Lain Iwakura, an awkward and introverted fourteen-year-old, is one of the many girls from her school to receive a disturbing email from her classmate Chisa Yomoda—the very same Chisa who recently committed suicide. Lain has neither the desire nor the experience to handle even basic technology; yet, when the technophobe opens the email, it leads her straight into the Wired, a virtual world of communication networks similar to what we know as the internet. Lain's life is turned upside down as she begins to encounter cryptic mysteries one after another. Strange men called the Men in Black begin to appear wherever she goes, asking her questions and somehow knowing more about her than even she herself knows. With the boundaries between reality and cyberspace rapidly blurring, Lain is plunged into more surreal and bizarre events where identity, consciousness, and perception are concepts that take on new meanings.

Written by Chiaki J. Konaka, whose other works include Texhnolyze, Serial Experiments Lain is a psychological avant-garde mystery series that follows Lain as she makes crucial choices that will affect both the real world and the Wired. In closing one world and opening another, only Lain will realize the significance of their presence.

[Written by MAL Rewrite]",Serial Experiments Lain,TV,13,Finished Airing,"Jul 6, 1998 to Sep 28, 1998",Summer 1998,Tuesdays at 01:15 (JST),"Genco, Pioneer LDC",Funimation,Triangle Staff,Original,"Avant GardeAvant Garde, Award WinningAward Winning, DramaDrama, MysteryMystery, Sci-FiSci-Fi, SupernaturalSupernatural, SuspenseSuspense",,23 min. per ep.,R - 17+ (violence & profanity)
7.92,2158,749,94,"The world of psychology is far from strange to the unusual Dr. Ichirou Irabu, a resident psychiatrist of Irabu General Hospital. He and his charming nurse Mayumi run through several patients, each suffering from a mental illness that harms their everyday life. 

Patients should be wary of the seductive Mayumi, with her spellbinding looks and devilishly short pink nurse uniform. On the other hand, the doctor seems to have three separate personalities: a child with an oversized lab coat; an intelligent, youthful man with feminine traits; and a selfish, outgoing green bear. While curing his patients in questionable ways, Dr. Irabu often tries to gain something from them outside of his profession—and in doing so, occasionally forgets his role as a doctor.

As each patient struggles to face the nature of their distress, an obvious yet invisible thread ties their paths together.

[Written by MAL Rewrite]",Welcome to Irabu's Office,TV,11,Finished Airing,"Oct 15, 2009 to Dec 24, 2009",Fall 2009,Fridays at 00:45 (JST),"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment, Bungeishunjuu","None found, add some",Toei Animation,Novel,"Avant GardeAvant Garde, DramaDrama",,23 min. per ep.,R - 17+ (violence & profanity)
7.94,802,720,300,"For the Takakura family, destiny is an ever-spinning wheel, pointing passionately in their direction with equal tides of joy and sorrow before ticking on to the next wishmaker. With their parents gone, twin brothers Kanba and Shouma live alone with their beloved little sister Himari, whose poor health cannot decline any further.

On the day Himari is given permission to temporarily leave the hospital, her brothers take her out to the aquarium to celebrate, where the family's supposed fate is brought forth with her sudden collapse. However, when Himari is inexplicably revived by a penguin hat from the aquarium's souvenir shop, the hand of fate continues to tick faithfully forward.

With her miraculous recovery, though, comes a cost: there is a new entity within her body, whose condition for keeping her fate at bay sends the boys on a wild goose chase for the mysterious ""Penguin Drum."" In their search, the boys will have to follow the threads of fate leading from their own shocking past and into the lives of other wishmakers vying for the Penguin Drum, all hoping to land upon their chosen destiny.

[Written by MAL Rewrite]",Penguindrum,TV,24,Finished Airing,"Jul 8, 2011 to Dec 23, 2011",Summer 2011,Fridays at 02:10 (JST),"Starchild Records, Mainichi Broadcasting System",Sentai Filmworks,Brain's Base,Original,"Avant GardeAvant Garde, DramaDrama, MysteryMystery, SupernaturalSupernatural, SuspenseSuspense",,24 min. per ep.,R - 17+ (violence & profanity)
8.17,288,417,696,"It is the new year, which means that the senior members of the Light Music Club are now third-years, with Azusa Nakano being the only second-year. The seniors soon realize that Azusa will be the only member left once they graduate and decide to recruit new members. Despite trying many methods of attracting underclassmen—handing out fliers, bringing people into the clubroom, and performing at the welcoming ceremony—there are no signs of anyone that plans to join.

While heading to the clubroom, Azusa overhears Yui Hirasawa say that the club is fine with only five people and that they can do many fun things together. Changing her mind, she decides that they do not need to recruit any members for the time being. 

K-On!! revolves around the members of the Light Music Club as they experience their daily high school life. From rehearsing for concerts to just messing around, they are ready to make their last year together an exciting one!

[Written by MAL Rewrite]",K-ON! Season 2,TV,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",Spring 2010,Wednesdays at 01:25 (JST),"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,4-koma manga,"Award WinningAward Winning, ComedyComedy",,24 min. per ep.,PG-13 - Teens 13 or older
8.28,507,282,445,"It all started in Kaminoyama High School, when five best friends—Aoi Miyamori, Ema Yasuhara, Midori Imai, Shizuka Sakaki, and Misa Toudou—discovered their collective love for all things anime and formed the animation club. After making their first amateur anime together and showcasing it at the culture festival, the group vows to pursue careers in the industry, aiming to one day work together and create their own mainstream show.

Two and a half years later, Aoi and Ema have managed to land jobs at the illustrious Musashino Animation production company. The others, however, are finding it difficult to get their dream jobs. Shizuka is feeling the weight of not being recognized as a capable voice actor, Misa has a secure yet unsatisfying career designing 3D models for a car company, and Midori is a university student intent on pursuing her dream as a story writer. These five girls will learn that the path to success is one with many diversions, but dreams can still be achieved through perseverance and a touch of eccentric creativity.

[Written by MAL Rewrite]",Shirobako,TV,24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",Fall 2014,Thursdays at 23:30 (JST),"Sotsu, Movic, Warner Bros. Japan, KlockWorx, Showgate, Infinite, Imagine",Sentai Filmworks,P.A. Works,Original,"Award WinningAward Winning, ComedyComedy, DramaDrama",,24 min. per ep.,PG-13 - Teens 13 or older
7.83,1403,927,168,"Kyoto has been populated by groups of tanuki and tengu for years, living alongside humans who are oblivious to the existence of these creatures. Yasaburou Shimogamo is the third son of an influential tanuki family who spends his carefree days taking care of an old tengu, observing humans through his ability to shapeshift, and dealing with the mysterious woman named Benten.

Behind the peace and tranquility, however, is a painful memory from long ago as Yasaburou's father, head of the tanuki community, was killed and eaten by a group of humans known as the Friday Fellows. Uchouten Kazoku follows the trials and tribulations of the Shimogamo brothers as they struggle to avoid their own grisly demise while coming ever closer to unraveling the truth behind their father's death.

[Written by MAL Rewrite]",The Eccentric Family,TV,13,Finished Airing,"Jul 7, 2013 to Sep 29, 2013",Summer 2013,Sundays at 22:00 (JST),"Bandai Visual, Yomiuri Telecasting, Lantis, Kids Station, Magic Capsule, Good Smile Company","NIS America, Inc.",P.A. Works,Novel,"Award WinningAward Winning, ComedyComedy, DramaDrama, FantasyFantasy",,24 min. per ep.,PG-13 - Teens 13 or older
8.56,502,101,450,"One autumn evening at a mysterious ramen stand behind the Shimogamo Shrine, a lonely third-year college student bumps into a man with an eggplant-shaped head who calls himself a god of matrimony. Meeting this man causes the student to reflect upon his past two years at college—two years bitterly spent trying to break up couples on campus with his only friend Ozu, a ghoulish-looking man seemingly set on making his life as miserable as possible. Resolving to make the most out of the rest of his college life, the student attempts to ask out the unsociable but kind-hearted underclassman Akashi, yet fails to follow through, prompting him to regret not living out his college life differently. As soon as this thought passes through his head, however, he is hurtled through time and space to the beginning of his years at college and given another chance to live his life.

Surreal, artistic, and mind-bending, Yojouhan Shinwa Taikei chronicles the misadventures of a young man on a journey to make friends, find love, and experience the rose-colored campus life he always dreamed of.

[Written by MAL Rewrite]",The Tatami Galaxy,TV,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010",Spring 2010,Fridays at 00:45 (JST),"Dentsu, Kadokawa Shoten, Fuji TV, TOHO, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",Funimation,Madhouse,Novel,"Award WinningAward Winning, ComedyComedy, MysteryMystery, RomanceRomance, SuspenseSuspense",,22 min. per ep.,R - 17+ (violence & profanity)
7.83,183,924,918,"If a survey were conducted to see if people believed in aliens, time travelers, or maybe espers, most would say they do not; average high school student Kyon considers himself among the non-believers. However, on his first day of school, he meets a girl who soon turns his world upside down.

During class introductions, the beautiful Haruhi Suzumiya boldly announces her boredom with ""normal"" people and her intention of meeting supernatural beings. Dumbfounded, Kyon learns of her frustration with the lack of paranormal-focused clubs at their school and unwittingly inspires her to start her own club. She creates the Spreading Fun all Over the World with Haruhi Suzumiya Brigade, otherwise known as the SOS Brigade.

Following the SOS Brigade's founding, Haruhi manages to recruit Kyon and three other members: quiet bookworm Yuki Nagato, shy upperclassman Mikuru Asahina, and perpetually positive Itsuki Koizumi. Despite their normal appearance, the new members of the SOS Brigade each carry their own secrets related to Haruhi. Caught up in the mystery surrounding the eccentric club leader, Kyon is whisked away on a series of misadventures by Haruhi and the SOS Brigade, each one bringing him closer to the truth about who and what she is.

[Written by MAL Rewrite]",The Melancholy of Haruhi Suzumiya,TV,14,Finished Airing,"Apr 3, 2006 to Jul 3, 2006",Spring 2006,Mondays at 00:00 (JST),"Lantis, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx","Funimation, Bandai Entertainment, Kadokawa Pictures USA",Kyoto Animation,Light novel,"Award WinningAward Winning, ComedyComedy, MysteryMystery, Sci-FiSci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older
8.01,817,629,297,"Middle school student Mirai Onozawa is dissatisfied with her family circumstances and, in a moment of frustration, wishes to tear everything apart. Unfortunately, these destructive thoughts seem to come true in the form of a magnitude 8.0 earthquake just a few moments later.

When summer vacation begins, Mirai reluctantly takes her younger brother Yuuki to Odaiba, where a robot exhibition that he wanted to go to is being held. However, while they are in the exhibition center, the fury of a major earthquake shakes the Kanto region; helpless, both kids witness the devastating power of this natural disaster as it brings the city to its knees.

In its aftermath, they stumble upon Mari Kusakabe, a motorcyclist and single mother who decides to help the young siblings. Aiming to return to their homes and reunite with their families, the group sets off on a long and hard journey through the decimated city.

[Written by MAL Rewrite]",Tokyo Magnitude 8.0,TV,11,Finished Airing,"Jul 10, 2009 to Sep 18, 2009",Summer 2009,Fridays at 00:45 (JST),"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment, Sakura Create",Maiden Japan,"Bones, Kinema Citrus",Original,"Award WinningAward Winning, DramaDrama",,22 min. per ep.,PG-13 - Teens 13 or older
8.22,1097,348,220,"Years ago, a tragic incident befell a young princess when both her parents died. Devastated, it seemed nothing would calm this poor soul. However, a prince traveling through the area came to see the princess, hoping to cheer her up. After wiping her sorrowful tears, the prince gave her a ring carrying a rose emblem and told her as long as she holds onto the ring, they are destined to meet again. The event leaves a deep impression on the girl, Utena Tenjou, leading her to become a prince herself. 

Years later, Utena attends Ootori Academy, recognized by the same rose emblem as her precious ring's. There, attracted by the scent of roses, she witnesses Anthy Himemiya tending the flowers, accompanied by the Student Council President Touga Kiryuu and Vice President Kyouichi Saionji, who seem to be arguing over Anthy. While Utena thinks nothing of the occurrence, the Student Council gathers to discuss an important matter. 

Subsequently, a misunderstanding leads to Utena being dragged into the world of Duelists—those with rings similar to her own. The Duelists fight for the ownership of the Rose Bride, Anthy Himemiya, who is said to possess great power. Wanting to prove her capabilities as a prince, and enraged that Anthy is being wronged and objectified, Utena resolves to fight against the Duelists to save her from the cruel fate.

[Written by MAL Rewrite]
",Revolutionary Girl Utena,TV,39,Finished Airing,"Apr 2, 1997 to Dec 24, 1997",Spring 1997,Wednesdays at 18:00 (JST),"TV Tokyo, Yomiko Advertising, SoftX, Shogakukan, Audio Tanaka","Nozomi Entertainment, Central Park Media",J.C.Staff,Original,"Award WinningAward Winning, DramaDrama, FantasyFantasy, MysteryMystery, SuspenseSuspense",,23 min. per ep.,PG-13 - Teens 13 or older
8.37,103,203,1,"Madoka Kaname and Sayaka Miki are regular middle school girls with regular lives, but all that changes when they encounter Kyuubey, a cat-like magical familiar, and Homura Akemi, the new transfer student.

Kyuubey offers them a proposition: he will grant any one of their wishes and in exchange, they will each become a magical girl, gaining enough power to fulfill their dreams. However, Homura Akemi, a magical girl herself, urges them not to accept the offer, stating that everything is not what it seems.

A story of hope, despair, and friendship, Mahou Shoujo Madoka★Magica deals with the difficulties of being a magical girl and the price one has to pay to make a dream come true.

[Written by MAL Rewrite] ",Puella Magi Madoka Magica,TV,12,Finished Airing,"Jan 7, 2011 to Apr 22, 2011",Winter 2011,Fridays at 01:25 (JST),"Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha",Aniplex of America,Shaft,Original,"Award WinningAward Winning, DramaDrama, FantasyFantasy, SuspenseSuspense",,24 min. per ep.,PG-13 - Teens 13 or older
8.13,972,460,250,"In the year 5053, French aristocrats Viscount Albert de Morcerf and Baron Franz d'Epinay attend the festival of Carnival on the moon city of Luna. While Franz is just looking to have fun, Albert is seeking something more to fill his life—but he finds more than he bargained for in The Count of Monte Cristo, a mysterious and charming self-made nobleman who meets his gaze during an opera performance.

Through a few twists and turns, Albert befriends the Count and introduces him into French society. The Count, however, has more on his mind than just friendship; he plots to finally unleash his vengeance on those who wronged him years earlier. Gankutsuou follows Albert and the Count's intertwined destinies and the ultimate price paid for enacting revenge.

[Written by MAL Rewrite]",Gankutsuou: The Count of Monte Cristo,TV,24,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,Tuesdays at 02:12 (JST),"GDH, TV Asahi, Media Factory, Sotsu Music Publishing","Funimation, Geneon Entertainment USA",Gonzo,Novel,"Award WinningAward Winning, DramaDrama, MysteryMystery, Sci-FiSci-Fi, SupernaturalSupernatural, SuspenseSuspense",,24 min. per ep.,R - 17+ (violence & profanity)
8.67,529,64,431,"Eccentric and blunt, the walrus Hiroshi Odokawa lives a relatively normal life. He drives a taxi for a living, and there he meets several unique individuals: the jobless Taichi Kabasawa who is dead-set on going viral, the mysterious nurse Miho Shirakawa, the struggling comedic duo ""Homo Sapiens,"" and Dobu, a well-known delinquent.

But Odokawa's simple way of life is about to be turned upside down. The case of a missing girl the police have been tracking leads back to him, and now both the yakuza and a duo of corrupt cops are on his tail.

[Written by MAL Rewrite]",Odd Taxi,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 02:00 (JST),"TV Tokyo, Dentsu, Pony Canyon, AT-X, Crunchyroll, Pony Canyon Enterprises, Yoshimoto Kogyo","None found, add some","OLM, P.I.C.S.",Original,"Award WinningAward Winning, DramaDrama, MysteryMystery, SuspenseSuspense",,23 min. per ep.,PG-13 - Teens 13 or older
8.26,957,313,254,"In 2075, space travel is no longer just a dream, but an everyday reality for mankind. Advancements in science and technology have led to the colonization of the moon, the commercialization of outer space, and the formation of large space corporations. Ai Tanabe, an upbeat woman whose interests lie in the cosmos, joins Technora Corporation as a member of their Debris Section, a department dedicated to the removal of dangerous space junk between the orbits of the Earth and Moon.

However, Ai soon discovers how unappreciated her job is. As the laughingstock of Technora, the Debris Section is severely understaffed, poorly funded, and is forced to use a dilapidated spaceship nicknamed the ""Toy Box"" for debris retrieval. Undeterred, Ai perseveres and gradually becomes acquainted with the strange personalities that make up the Debris Section's staff, such as the bumbling but good-natured chief clerk Philippe Myers; the mysterious and tight-lipped temp worker Edelgard Rivera; and the hotheaded and passionate Hachirouta Hoshino, who longs for a spaceship to call his own.

Planetes is an unconventional sci-fi series that portrays the vastness of space as a backdrop for the personal lives of ordinary people—people who may have been born on Earth, but whose hopes and dreams lie amongst the stars.

[Written by MAL Rewrite]",Planetes,TV,26,Finished Airing,"Oct 4, 2003 to Apr 17, 2004",Fall 2003,Saturdays at 08:05 (JST),"Bandai Visual, NHK",Bandai Entertainment,Sunrise,Manga,"Award WinningAward Winning, DramaDrama, RomanceRomance, Sci-FiSci-Fi",SeinenSeinen,25 min. per ep.,PG-13 - Teens 13 or older
8.62,585,82,393,"Despite being polar opposites, Makoto ""Smile"" Tsukimoto and Yutaka ""Peco"" Hoshino have been best friends since childhood. Although the overly confident Peco strives to be the best ping-pong player in the world, he often skips practice, earning the ire of his fellow teammates on the Katase High School ping-pong team. Meanwhile, Smile—in spite of his innate talent for the sport—cannot help but hold back his full strength when playing against others. Through their mutual love for ping-pong, the two have developed a bond that is seemingly unbreakable.

When Peco hears that an ex-national team player from China is coming to Japan, he drags Smile over to rival Tsujido High School to observe them. The subsequent trip leads to a clash between Peco and Kong Wenge, who overwhelmingly defeats the former in one game. Stunned by such a comprehensive loss, Peco finds himself questioning why he plays to begin with. Seeing his potential as a player, Katase's coach begins to train Smile to overcome his hesitation, but he is reluctant to play if it is not for enjoyment.

As the two struggle to find meaning in the sport, a plethora of stronger players—each with their own internal strifes—await them at the inter-high tournament, where only the very best can persevere. But when these young athletes let their unbridled ambition go unchecked, the hardships they face paint a somber reality as they pursue glory.

[Written by MAL Rewrite]",Ping Pong the Animation,TV,11,Finished Airing,"Apr 11, 2014 to Jun 20, 2014",Spring 2014,Fridays at 00:50 (JST),"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",Funimation,Tatsunoko Production,Manga,"Award WinningAward Winning, DramaDrama, SportsSports",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older
